"instance_id","client_name","site_name","region_name","client_region_name","site_region_name","month_date","total_lifetimes","total_user_days_online_this_month","total_users_online_this_month","avg_daily_engagement_score","total_lifetime_days","li_attempts","mission_step_completions","rewards_claimed","rank_completions","sale_submissions","user_referrals","badge_completions","banner_clicks","poll_completions","survey_completions","certification_completions","achievement_completions","community_comments","community_replies","community_likes","snippets_created","snippets_viewed","engagement_score"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-02-01","1787","82","31","1.79739010989011","494515","372","18","0","3","0","0","23","13","9","0","0","0","2","1","23","0","47","511"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-02-01","1044","149","28","1.901858435681965","495433","217","11","0","3","0","0","6","3","7","0","0","0","9","3","43","0","73","375"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-05-01","1714","309","39","2.8113916880221232","576902","386","26","0","1","0","0","8","7","8","1","0","0","11","8","122","13","520","1111"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-01-01","1662","215","42","3.5993945789960966","77129","438","18","0","8","0","0","51","29","0","8","0","0","3","6","31","11","215","818"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-08-01","2106","370","60","4.103377063621425","371393","642","45","0","3","0","0","46","40","10","0","0","0","5","1","20","2","125","939"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-11-01","1213","125","28","3.096527777777778","557068","252","1","0","2","0","0","8","2","4","0","0","0","11","3","82","2","83","450"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2025-08-01","2110","41","17","2.3000000000000003","48457","56","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","10","78"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-10-01","2166","275","58","4.278427868615496","441835","1033","116","0","16","0","0","50","39","11","6","1","0","25","3","27","1","47","1375"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-06-01","2041","371","52","3.39707003236415","270885","1142","57","0","7","0","0","78","58","7","0","0","0","5","5","37","0","63","1459"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-08-01","1422","139","34","1.211784049284049","623247","146","0","0","0","0","0","7","7","5","7","0","0","0","0","6","0","47","225"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-07-01","706","54","21","1.0833333333333333","378587","37","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","38","82"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2025-09-01","1659","67","40","0.8489262371615313","45995","100","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","15","136"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2024-12-01","1726","20","12","0.7023809523809524","7958","3","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","7","17"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-06-01","892","66","25","0.76375","471239","20","1","0","0","0","0","2","0","10","2","0","0","0","0","1","1","29","66"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-05-01","1049","97","22","1.0317619047619049","543270","32","0","1","1","0","0","3","0","21","0","1","0","1","0","1","2","63","126"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2024-10-01","59","16","11","2.476190476190476","130","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","8","10","21"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2025-01-01","1115","141","29","2.014449585502217","528482","235","19","0","0","0","0","11","2","3","0","1","0","1","2","2","0","60","336"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2024-11-01","1087","90","44","1.454000709435492","3428","15","0","0","0","0","0","0","23","0","0","0","0","0","0","0","58","28","124"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2023-12-01","2015","251","50","1.200046758796759","484842","218","21","0","2","0","0","17","10","15","2","0","0","2","1","26","0","66","380"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2022-11-01","1132","281","50","6.313387908769744","10180","1337","0","0","37","0","0","349","106","32","21","0","0","32","46","278","6","296","2540"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-10-01","1272","116","28","1.6328571428571428","572817","34","1","0","0","0","0","13","1","6","0","0","0","10","3","40","1","98","207"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-01-01","2014","179","40","1.8355494505494507","511332","356","38","0","3","0","0","24","12","11","0","0","0","4","3","22","0","38","511"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2022-10-01","131","27","4","2.9705882352941178","760","33","0","0","1","0","0","28","19","1","0","0","0","3","2","5","2","6","100"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2022-12-01","1609","279","43","3.2337598661259377","42997","576","6","0","26","0","0","84","65","28","19","0","0","15","16","149","11","309","1304"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2025-04-01","2112","170","87","1.2369375293023224","13299","103","0","0","0","0","2","0","49","0","0","0","0","0","0","0","0","84","238"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-03-01","1971","300","52","1.1753445056854432","552221","293","23","0","2","0","0","23","32","15","0","0","0","2","3","13","0","47","453"
"B9A1AF2B98B61FC3D5D15CD97F4FFF7C","Google TV","Google TV",,"Google TV","Google TV","2025-02-01","935","17","8","0.7222222222222222","10122","10","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","3","17"
"8E5E684A2BEAEFA7FECF7F0DA8B601E8","HALIGHT","The Quarry",,"HALIGHT","The Quarry","2024-04-01","1779","290","44","1.1954939042439043","543180","339","48","0","0","0","0","19","8","14","2","1","0","4","11","26","0","7","479"
